player_id,player,team,pos,gp,min,pts,reb,ast,stl,blk,fgm,fga,fg3m,ftm,tov,fpts
1630590,Scotty Pippen Jr.,MEM,Guard,79,21.3,9.9,3.3,4.4,1.3,0.4,3.6,7.5,1.1,1.5,1.7,30.84
1629640,Keldon Johnson,SAS,Forward-Guard,77,23.9,12.7,4.8,1.6,0.6,0.3,4.8,10.0,1.1,1.9,1.0,30.69
1629660,Ty Jerome,CLE,Guard-Forward,70,19.9,12.5,2.5,3.4,1.1,0.0,4.6,8.8,1.6,1.8,1.3,30.54
1630544,Tre Mann,CHA,Guard,13,24.5,14.1,2.9,3.0,0.5,0.3,5.4,12.4,1.8,1.5,1.9,30.52
203915,Spencer Dinwiddie,DAL,Guard,79,27.0,11.0,2.6,4.4,0.9,0.2,3.6,8.6,1.4,2.5,1.3,30.5
1630631,Jose Alvarado,NOP,Guard,56,24.4,10.3,2.4,4.6,1.3,0.3,3.6,9.3,2.0,1.1,1.5,30.46
1626145,Tyus Jones,PHX,Guard,81,26.8,10.2,2.4,5.3,0.9,0.1,3.8,8.4,2.0,0.6,1.1,30.38
1630174,Aaron Nesmith,IND,Guard-Forward,45,24.9,12.0,4.0,1.2,0.8,0.4,4.3,8.4,1.9,1.6,0.8,30.22
203084,Harrison Barnes,SAS,Forward,82,27.2,12.3,3.8,1.7,0.5,0.2,4.2,8.3,1.9,2.0,0.6,30.18
1629022,Lonnie Walker IV,PHI,Guard-Forward,20,23.8,12.4,3.2,2.5,0.5,0.3,4.5,10.6,2.3,1.2,1.3,29.96
1629614,Andrew Nembhard,IND,Guard-Forward,65,28.9,10.0,3.3,5.0,1.2,0.2,3.8,8.3,0.8,1.7,1.7,29.77
1629048,Goga Bitadze,ORL,Center-Forward,70,20.4,7.2,6.6,2.0,0.7,1.4,3.0,4.8,0.0,1.2,1.0,29.75
1629001,De'Anthony Melton,BKN,Guard,6,20.2,10.3,3.3,2.8,1.2,0.3,3.7,9.0,2.2,0.8,1.7,29.75
1642267,Bub Carrington,WAS,Guard,82,30.0,9.8,4.2,4.4,0.7,0.3,3.7,9.1,1.7,0.8,1.7,29.69
1629652,Luguentz Dort,OKC,Guard,71,29.2,10.1,4.1,1.6,1.1,0.5,3.6,8.4,2.4,0.5,0.7,29.62
1630598,Aaron Wiggins,OKC,Guard,76,22.9,12.0,3.9,1.8,0.8,0.2,4.7,9.6,1.7,1.0,0.9,29.58
1642271,Kyle Filipowski,UTA,Center,72,21.1,9.6,6.1,1.9,0.7,0.3,3.6,7.2,1.1,1.3,1.4,29.51
1631131,Oscar Tshiebwe,UTA,Forward-Center,14,18.2,7.6,8.7,0.6,0.9,0.1,3.0,5.0,0.0,1.6,0.7,29.24
1642449,Tolu Smith,DET,Forward,1,22.4,14.0,8.0,0.0,0.0,0.0,6.0,9.0,0.0,2.0,2.0,29.2
1631107,Nikola Jović,MIA,Forward,46,25.1,10.7,3.9,2.8,0.8,0.3,3.7,8.2,1.7,1.6,1.3,29.16
1630165,Killian Hayes,BKN,Guard,6,27.1,9.0,3.0,5.2,0.7,0.7,3.0,7.2,1.3,1.7,1.5,29.11
1630600,Isaiah Mobley,PHI,Forward,1,17.4,6.0,4.0,5.0,1.0,1.0,2.0,7.0,1.0,1.0,0.0,29.1
1642258,Zaccharie Risacher,ATL,Forward,75,24.6,12.6,3.6,1.2,0.7,0.5,4.8,10.4,1.6,1.4,1.2,29.02
1626220,Royce O'Neale,PHX,Forward,75,24.5,9.1,4.7,2.2,0.9,0.4,3.2,7.6,2.4,0.3,0.9,28.88
1630542,Marcus Bagley,PHI,Forward,10,25.3,6.7,7.0,1.0,0.9,1.2,2.7,6.9,0.5,0.8,0.7,28.57
1630551,Justin Champagnie,WAS,Guard-Forward,62,21.6,8.8,5.7,1.0,1.0,0.6,3.4,6.6,1.2,0.8,0.9,28.55
1642270,Donovan Clingan,POR,Center,67,19.8,6.5,7.9,1.1,0.5,1.6,2.7,5.0,0.2,0.9,1.1,28.55
1630533,Ziaire Williams,BKN,Forward,63,24.5,10.0,4.6,1.3,1.0,0.4,3.4,8.3,1.6,1.6,1.1,28.18
1629622,Max Strus,CLE,Guard-Forward,50,25.5,9.4,4.3,3.2,0.5,0.2,3.3,7.5,2.3,0.6,1.1,28.1
1630553,Keon Johnson,BKN,Guard,79,24.4,10.6,3.8,2.2,1.0,0.4,3.8,9.9,1.6,1.4,1.5,27.97
1628960,Grayson Allen,PHX,Guard,64,24.1,10.6,3.0,2.1,0.8,0.3,3.4,7.6,2.3,1.5,1.2,27.85
1629645,Kevin Porter Jr.,MIL,Guard-Forward,75,19.8,10.3,3.7,3.4,1.1,0.2,3.9,8.7,0.7,1.7,1.8,27.81
1630527,Brandon Boston,NOP,Guard,42,23.6,10.7,3.2,2.2,1.3,0.2,4.0,9.1,1.2,1.6,1.2,27.68
1642273,Kyshawn George,WAS,Forward,68,26.5,8.7,4.2,2.5,1.0,0.7,3.0,8.0,1.7,1.0,1.4,27.66
1642268,Isaiah Collier,UTA,Guard,71,25.9,8.7,3.3,6.3,0.9,0.2,3.3,7.8,0.6,1.5,2.9,27.65
1627741,Buddy Hield,GSW,Guard,82,22.7,11.1,3.2,1.6,0.8,0.3,4.0,9.6,2.5,0.6,1.1,27.63
1630534,Ochai Agbaji,TOR,Guard,64,27.2,10.4,3.8,1.5,0.9,0.5,4.2,8.3,1.6,0.5,0.8,27.59
1629680,Matisse Thybulle,POR,Guard-Forward,15,20.8,7.5,3.5,1.9,2.2,0.6,2.8,5.9,1.4,0.5,0.9,27.57
1630549,Day'Ron Sharpe,BKN,Center,50,18.1,7.9,6.6,1.8,0.8,0.8,3.3,6.3,0.2,1.1,1.3,27.49
1641717,Cason Wallace,OKC,Guard,68,27.6,8.4,3.4,2.5,1.8,0.5,3.4,7.2,1.1,0.4,0.9,27.36
203992,Bogdan Bogdanović,LAC,Guard,54,25.0,10.8,2.9,2.7,0.8,0.2,3.9,9.1,1.9,1.1,1.4,27.22
201144,Mike Conley,MIN,Guard,71,24.7,8.2,2.6,4.5,1.1,0.2,2.6,6.6,1.8,1.1,1.1,27.19
1630167,Obi Toppin,IND,Forward,79,19.6,10.5,4.0,1.6,0.6,0.4,4.0,7.6,1.4,1.1,0.9,27.12
203083,Andre Drummond,PHI,Center,40,18.8,7.3,7.8,0.9,1.0,0.5,2.9,5.9,0.1,1.4,1.4,27.01
1630577,Julian Champagnie,SAS,Forward,82,23.6,9.9,3.9,1.4,0.7,0.4,3.4,8.1,2.2,1.0,0.9,26.98
1631232,Keion Brooks Jr.,NOP,Forward,14,23.7,10.1,4.1,0.9,0.7,0.7,3.8,7.8,1.0,1.6,0.9,26.83
1630540,Miles McBride,NYK,Guard,64,24.9,9.5,2.5,2.9,1.0,0.3,3.5,8.5,1.8,0.8,0.6,26.8
1628366,Lonzo Ball,CHI,Guard,35,22.2,7.6,3.4,3.3,1.3,0.5,2.5,6.9,1.9,0.6,1.2,26.77
1626179,Terry Rozier,MIA,Guard,64,25.9,10.6,3.7,2.6,0.6,0.2,3.9,9.9,1.4,1.4,1.2,26.77
203482,Kelly Olynyk,NOP,Forward-Center,44,20.2,8.7,4.7,2.9,0.8,0.4,3.0,6.1,0.8,1.9,1.7,26.77
1628449,Chris Boucher,TOR,Forward,50,17.2,10.0,4.5,0.7,0.5,0.5,3.6,7.4,1.4,1.4,0.6,26.67
1629018,Gary Trent Jr.,MIL,Guard,74,25.6,11.1,2.3,1.2,1.0,0.1,3.8,8.9,2.4,1.1,0.6,26.67
1628989,Kevin Huerter,CHI,Guard-Forward,69,24.3,9.9,3.0,2.3,1.0,0.3,3.7,8.8,1.9,0.5,1.0,26.49
1630557,Corey Kispert,WAS,Forward,61,26.3,11.6,3.0,1.7,0.4,0.2,4.2,9.3,2.0,1.2,1.0,26.49
1642348,Justin Edwards,PHI,Forward,44,26.2,10.1,3.4,1.6,1.0,0.4,3.9,8.6,1.6,0.7,1.1,26.4
1641787,Tosan Evbuomwan,BKN,Forward,28,23.7,9.5,4.3,2.0,0.9,0.4,3.4,7.9,0.9,2.0,1.4,26.37
1626204,Larry Nance Jr.,ATL,Forward-Center,24,19.3,8.5,4.3,1.6,0.8,0.5,3.3,6.5,1.4,0.4,0.7,26.34
1631119,Jaylin Williams,OKC,Forward,47,16.7,5.9,5.6,2.6,0.5,0.6,2.1,4.7,1.3,0.5,0.7,26.31
1641710,Anthony Black,ORL,Guard,78,24.2,9.4,2.9,3.1,1.1,0.6,3.4,7.9,0.8,1.9,1.8,26.22
1631165,Keon Ellis,SAC,Guard,80,24.4,8.3,2.7,1.5,1.5,0.8,2.8,5.8,1.7,0.9,0.9,26.09
1629130,Duncan Robinson,MIA,Forward,74,24.1,11.0,2.3,2.4,0.5,0.1,3.9,9.0,2.6,0.6,1.2,25.95
1629638,Nickeil Alexander-Walker,MIN,Guard,82,25.3,9.4,3.2,2.7,0.6,0.4,3.3,7.5,1.7,1.1,1.2,25.84
203501,Tim Hardaway Jr.,DET,Guard-Forward,77,28.0,11.0,2.4,1.6,0.5,0.1,3.6,8.8,2.2,1.6,0.6,25.74
1631108,Max Christie,DAL,Guard,78,27.3,9.6,3.3,1.9,0.8,0.4,3.2,7.6,1.5,1.7,1.1,25.73
1630188,Jalen Smith,CHI,Forward-Center,64,15.0,8.2,5.6,1.0,0.3,0.7,3.0,6.4,1.1,1.1,0.6,25.69
1642377,Jaylen Wells,MEM,Forward,79,25.9,10.4,3.4,1.7,0.6,0.1,3.6,8.6,1.7,1.4,0.9,25.57
1630198,Isaiah Joe,OKC,Guard,74,21.7,10.2,2.6,1.6,0.6,0.1,3.5,7.9,2.6,0.6,0.5,25.57
1627827,Dorian Finney-Smith,LAL,Forward,63,28.9,8.7,3.9,1.4,0.9,0.4,3.1,6.9,2.0,0.5,0.9,25.42
1630543,Isaiah Jackson,IND,Forward,5,16.8,7.0,5.6,1.0,0.6,1.6,2.8,4.6,0.0,1.4,1.0,25.28
1630172,Patrick Williams,CHI,Forward,63,25.0,9.0,3.8,2.0,0.8,0.5,3.3,8.2,1.5,1.0,1.4,25.28
204456,T.J. McConnell,IND,Guard,79,17.9,9.1,2.4,4.4,1.1,0.3,4.1,7.9,0.2,0.7,1.4,25.21
1627936,Alex Caruso,OKC,Guard,54,19.3,7.1,2.9,2.5,1.6,0.6,2.6,5.8,1.1,0.8,0.7,25.19
1628379,Luke Kennard,MEM,Guard,65,22.6,8.9,2.8,3.3,0.8,0.1,3.2,6.6,1.7,0.8,1.1,25.18
1631170,Jaime Jaquez Jr.,MIA,Guard,66,20.7,8.6,4.4,2.5,0.9,0.2,3.2,7.0,0.6,1.6,1.5,25.17
1630570,Trendon Watford,BKN,Guard-Forward,44,20.7,10.2,3.6,2.6,0.6,0.3,3.7,8.0,0.7,2.1,1.9,25.12
1641722,Jordan Hawkins,NOP,Guard,56,23.6,10.8,2.8,1.2,0.5,0.4,3.7,9.9,2.0,1.4,1.0,25.12
1641729,Brice Sensabaugh,UTA,Forward,71,20.2,10.9,3.0,1.5,0.6,0.1,3.9,8.4,2.2,0.9,1.5,25.02
1630175,Cole Anthony,MEM,Guard,67,18.4,9.4,3.0,2.9,0.7,0.5,3.4,8.1,1.1,1.4,1.5,24.98
1631212,Peyton Watson,DEN,Guard,68,24.3,8.1,3.4,1.4,0.7,1.4,3.0,6.3,0.7,1.4,0.8,24.94
1629057,Robert Williams III,POR,Center-Forward,20,17.6,5.8,5.9,1.1,0.7,1.7,2.5,3.9,0.1,0.8,0.9,24.87
1627884,Derrick Jones Jr.,LAC,Forward,77,24.3,10.1,3.4,0.8,1.0,0.4,4.0,7.6,1.0,1.1,0.9,24.83
1630541,Moses Moody,GSW,Guard,74,22.3,9.8,2.6,1.3,0.8,0.4,3.3,7.7,1.7,1.4,0.7,24.76
203935,Marcus Smart,WAS,Guard,34,20.0,9.0,2.1,3.2,1.1,0.3,3.0,7.6,1.4,1.6,1.6,24.63
1630558,Davion Mitchell,MIA,Guard,74,27.4,7.9,2.3,4.9,1.0,0.2,3.0,6.4,1.1,0.8,1.7,24.57
1629634,Brandon Clarke,MEM,Forward,64,18.9,8.3,5.1,1.0,0.8,0.6,3.7,5.9,0.0,1.0,0.6,24.5
1631255,Karlo Matković,NOP,Forward-Center,42,18.8,7.7,5.0,1.1,0.5,1.0,3.2,5.6,0.5,0.8,1.0,24.44
1641730,Noah Clowney,BKN,Forward-Center,46,22.7,9.1,3.9,0.9,0.5,0.5,2.9,8.1,1.9,1.5,1.0,24.38
203484,Kentavious Caldwell-Pope,MEM,Guard,77,29.6,8.7,2.2,1.8,1.3,0.4,3.1,7.1,1.5,1.1,0.8,24.38
1627752,Taurean Prince,MIL,Forward,80,27.1,8.2,3.6,1.9,1.0,0.2,2.9,6.4,1.8,0.5,1.0,24.36
1626158,Richaun Holmes,WAS,Forward,31,17.2,7.4,5.7,1.4,0.3,0.7,2.9,4.5,0.0,1.6,0.7,24.33
1627777,Georges Niang,ATL,Forward,79,21.5,9.9,3.4,1.4,0.4,0.2,3.6,7.8,2.1,0.6,1.0,24.33
1628997,Caleb Martin,DAL,Forward,45,27.1,7.9,3.9,2.1,1.0,0.5,2.9,6.8,0.8,1.4,1.2,24.31
1641707,Taylor Hendricks,UTA,Forward,3,24.8,4.7,5.0,0.7,1.7,1.3,1.3,6.0,1.0,1.0,0.7,24.3
1627739,Kris Dunn,LAC,Guard,74,24.1,6.4,3.4,2.8,1.7,0.4,2.6,5.9,1.0,0.2,1.0,24.12
1630191,Isaiah Stewart,DET,Forward-Center,72,19.9,6.0,5.5,1.7,0.4,1.4,2.4,4.4,0.2,0.9,0.9,23.88
